yorum;;;
The festivals attended by this film are distributed among the prizes given by the film, the sincerity in the narrative, the pleasure taken from the movie, and the fact that although the actors are new and trivial names, they do not include anything in the film and they all had this film.;;;
"a very funny movie or one of the best comedies I&#39;ve watched, so you&#39;re full of laughter.";;;
as well as everyone said that the tub scene was very nice also michelle pfeifferin actress was very good;;;
dreams are very wide and people never dream of realizing their dreams ... I think this movie is very high quality ... such films on behalf of the Turkish cinema would be very pleasing to those who do not ...;;;
to congratulate a film so warm and sincere that he has done a very nice job that John uluçeyi show that if the directors enough budgets are presented to what they do ......... Anyway I recommend to everyone;;;
"A very nice movie ... I watched with curiosity was a nice movie in a few scenes of the movie, but now here I tell you not to watch it as it reads :) Yes, the girls also moved to get worse, I&#39;m sorry I will get ... anyway 8/10 I say because of the disadvantages of some not understand the sentences :)";;;
"I just wanted to tell the presentation, the movie was perfect ... and the subject was very hungry and messy ... with a very unclear subject ... and most of the time your hair was blossoming ... and at the end of the film I was so surprised that I couldn&#39;t tell you that I would suggest that everyone watch before ... really worth the money you give ....";;;
simply great ... would recommend to anyone ... be sure to follow ...;;;
Pure innocent children of Anatolia, the child inside us!;;;
He&#39;s hesitant watching this movie. but I think everyone should watch it :) http://tinypaste.com/528b8b36;;
"4269 ""Who can not understand the pleasure of this film can not enjoy a fantastic like most people will come, but the subject is so deep and beautiful.Cloud of hair strands and sweater, already in the wind as if the actual. Get the game, even the series before you watch this movie, it was really nice, I don't agree with the friends who don't like the music, I think it was quite successful, especially one winged angel 9.5 / 10";;;
"4270 ""& quot;";;;
"4271 ""you look at the staff, so the rest is empty no matter how bad a movie is robert de niro";;;
"4272 ""It's a nice farewell movie. You may not find the excitement in Rock IV, but the beauty in Rocky I is still in place ... Take care of Rocco ..."" keep moving forward ... ''";;;
"4273 ""Among the best Turkish films I've seen, acting, script, management are all very good films.";;;
"4274 ""It was incredible. It's a movie that everyone should watch. I wouldn't recommend you to watch if you don't like KAfa.""";;;
"4275 ""is a very natural bi-film that I think it should have a place between Turkish films both fun and affect ...";;;
"4276 ""Turks adorn themselves with a beautiful proof Sevket Çoruh my man is already a beautiful film I'm tired of watching the film and even the Turkish cinema will now look badly I say";;;
"4277 ""I laugh even when I remember this movie ... I remember I watched it at the cinema we had so much fun: D: D: D";;;
"4278 ""My favorite 2 combat masters, although I would like to see the fight between the Jet li and Mark or the science scenes between them, will be monitored for this 2si.";;;
"4279 ""I read the book without leaving my hand with great pleasure almost .. I believe the film will be great.";;;
"4280 ""Although I don't like jet, this movie is really cool. I think dmx has a lot of performance, and hopefully we can watch it in a lot of movies. I like the movie very much.";;;
"4281 ""movie is fine. Movie played back makes the authenticity of the other stories of the scene and criticism that indirectly led to Turkey and Turkish society. Occurs actually included anyone's fault, society's overall crime, the proof objective is prone to violence. From winning, stronger than, the people from the last scene since the oppressor it's the weird end of the booing of fellow workers.";;;
"4282 ""a beautiful film ewet ewde ewde alone, but it was a little pointless to watch.";;;
"4283 ""jet lm dmx and marc dacoascos lu show how good the movie is with a great movie di fight and follow scenes";;;
"4284 ""I think very nice but the film is not so good in every scene but there are some scenes that have kept the scenes from the movie so beautiful";;;
"4285 ""was an incredibly entertaining and enjoyable movie, especially the Sevket Coruh very sugar bi rolde & quot;";;;
"4286 ""Artist Jet Li Gene has done all the time to make an ice skating I've always done a movie to be exaggerated";;;
"4287 ""walla is a very ordinary place in the venue but the theme of the script is that when the players are strong cokta gusel seker like a film is a movie that is the hizir in the jaws of the hentai ...";;;
"4288 ""One side of the music, one side of the action. When the two came together, it was a beautiful movie ...";;;
"4289 ""at first it is boring and meaningless, but after a place that he loves the two construction workers so much that you are going to pity on them and to feel sorry for them .... the event is tragic and tragic and of course, :)) but the ramen and sudi they're still pure!";;;
"4290 ""I finished the book in 2 nights and it was a perfect book.";;;
"4291 ""I watched a coincidence result without too much interest in film. But a really different and thought-provoking topic has been handled.";;;
"4292 ""A film-fiction taste,""";;;
"4293 ""with one word ...";;;
"4294 ""eee jet li when the film is not nice?";;;
"4295 ""yes, it was a very beautiful film.";;;
"4296 ""Best Movie Cradle From Grave";;;
"4297 ""I really like it ...... the film is not really understandable what they do in the early moments, but you can understand the subject of the film towards the middle .... I would recommend ...... also emre kýnay and þevket coruh played very well indeed";;;
"4298 ""jet li is a wonderful action film king of the movie het playing music I liked very much follow 10/9";;;
4299 u We are faced with a full charismatic Jet Li.;;;
"4300 ""This is a classic amarikam adventure, where the action never falls down.";;;
"4301 ""congratulations on this movie so nice";;;
4302 tak Jet Li is still in the water.;;;
"4303 ""was a very nice action film, jet li'in performance was very good indeed was a very nice film tank's helicopter blasting scene was beautiful scenes action film lovers should not miss 8/10";;;
The soundtrack is very strong, especially from the DMX.;;;
"4305 ""great action fun. There are many well-constructed scenes. The cool films of Jackie Chan's fictional films were fantastic.""";;;
"4306 ""Who says no matter what the film played by a master like Jet Li can not say bad. I think fiction shooting is a very beautiful film. Everything I like the best part of Jet Li's men with his left hand pocket was the fight :)";;;
"4307 ""Jet Lee is the best in this business! I'm not tired of the movie after it happens. So its the scenario, the players are not bad. Jet Lee's better movies d have but d!";;;
"4308 ""Madagascar is not as gusel as a fun film ... Gusel is a right choice to spend time.";;;
"4309 ""In summary, an excellent masterpiece ..";;;
"4310 ""A film that has made its mark on a period and inspired many films";;;
"4311 ""I'm sick of this movie!";;;
"4312 ""After watching this film, I became a fan of Jack Lemmon.";;;
"4313 ""greetings. This movie only goes to listen to DMX's song This IS MY LIFE.";;;
4314 is an excellent comedy, although it doesn't look nice, but it's one of the rare films that everyone can watch.;;;
"4315 ""is not watched in the jet. This man is the role of the role.";;;
"4316 ""sit and sit and watch the movie many times ... roses, narrative, love as a movie .... everything is beautiful and every time our first youth days, childhood reminders are reminded .. 8/10";;;
"4317 ""Let's watch ...";;;
"4318 ""JET is super as usual, but that does not mean that the film is good. Fighting without changing a hand out of his pocket. The more hollow face of the streets of Istanbul, even the worst of all the worst. JET'en is a very good fighter and American american JET'en more fans. If he had at least done a few capaera moves or something, he would not have had the gamut. In this case, my commentary is valid.";;;
"4319 ""Movie is followed by the action frame if I watched after XXX Fun Videos from one of the fun can not give meaningless criticism No TV is not watched or something like!";;;
"4320 ""every frame of the film is almost like a postcard. We feel the sense of cinema until the end, and with its interesting end (we could not understand) a masterpiece. Especially lovers of this movie, this movie can change everything you know";;;
"4321 ""I want to be the first to follow, please go and get a wait, please wait hahahaha";;;
"4322 ""finale Trk is a very successful film opposite the style of the audience";;;
"4323 ""more than a series of films that continue to be enthusiastically enthusiastically watching and watching.";;;
"4324 ""The first film of the new trilogy, in which many things left the question mark in the series or the head of the series, have been clarified, and the only film approaching the quality of the first film.";;;
"4325 ""His fiction is a very messy movie. Those who seek fear and intelligence together. I am begendm. They have trapped a lot of traps.";;;
"The most disgusting film of the 4326 ""saw series";;;
"4327 ""In this episode of the saw series, again in this episode the surprise, the trap and the adventure were good, but the first two were very good, they spent 3 more effort. If we compare only the first three, it will be a little bit uninspired. .";;;
"4328 ""I like animations very much, but I think it was really nice 9/10";;;
"4329 ""I couldn't have had a lot of fun but it could have been much better, I didn't know if it was 8 or 9, but I gave it to my favorites and 9/10 ...";;;
"4330 ""acting is perfect and absolutely super bi movie :)";;;
"4331 ""I had the opportunity to watch the Saw series with the DVD format yesterday, but it was one of the films I was constantly postponing, and the physical and individual violence films were repulsive, but the success in the fiction with the second film of the series tied me to the whole series. Well, I would like to say that DL Bousman's performance is better than other directors, and that it is not a valor to make such a fiction and to create such a violent genre and to connect this fiction to the 6 films of the series. deserves.";;;
"4332 ""I think every film of the series is beautiful";;;
"4333 ""I'm so cute I think a lot of the normal film, although it's a nice line";;;
"4334 ""in the same time in 2002, the production of the industry was very confused when I saw the 98i very specific or strictly monitored";;;
"4335 ""Orson Welles, one of the few filmmakers who can skilfully master the acting and directing at the same time. The peak of his filmography Citizen Kane is a film that has been able to excellently describe a man's pain, happiness, and struggle. The enormous finale is also very meaningful. This movie is a great masterpiece that every film lover must see and archive if possible.";;;
"4336 ""One of the most beautiful films in the series ..";;;
"The 4337 ""screenplay is a fourfold film.";;;
"4338 ""& quot;";;;
"4339 ""Orson Welles's masterpiece, which is called the child of the cinema, is very good at the time of the citizane cane, and is gracefully the best film in the history of cinema with its original screenplay ... the best film in many surveys, making it as good as covering the best film of all time."" I can't say it's a movie, but in 41 I'm one of those who call it halal: D ... orson welles in the management of the management, as deep as the movie ... every movie theater should see this movie once and witness the first use of a lot of cinema techniques that we still see in my opinion ... 10/10";;;
"4340 ""I've watched TV many years ago. It's also good to watch again. If I can find it, I want a double-disc version of Saga ...";;;
"4341 ""Very Fun Bi Movie a little""";;;
"4342 ""One who understands the technique of cinema, really enjoy this movie ... Moreover, such a creative film in 1941 is very little. But also very good in terms of the script. But still the crowning of the best film of all time is not true I think, because both the technical and scenario There are far better movies, but as I said, citizen kane is a masterpiece according to the cinema of that period.";;;
"4343 ""It's one of these unforgettable classics of master director Billy Wilder. Some of them are the best comedies. It's the best comedy from the director. The film has literally hit the target with its staggering expression power and intelligent moving plot and daring scenes. Jack Lemmon, Tony Curtis and Marilyn Monroe (the best performances) of the exquisite acting of the Wýlder visual technique meets a complete classic.Already imitated structure and humor power a different reflection of the classic";;;
"4344 ""This is my second comment, because I've watched it once again, and you know, there were some questions we had in our second movie ... how jigsaw does this job on your own? How strong is it or something. In this movie you'll find the answers to those questions. They've managed to surprise us every single time, and there's no film that makes this happen before, but it doesn't matter.";;;
"4345 ""film is very fun, great bi animation.";;;
"4346 ""I think every fimi is nice but especially the 3rd series was super";;;
"4347 ""Final earthquake with the earthquake team in the fight against the characters of the characters in the film did not obey the character.On the face of Turkish cinema.";;;
"4348 ""is a very successful computer animated film.";;;
"4349 ""super cute insects, very cute fiction and is still one of the pix from cute to watch the laughter and emotion animasyon.kesinlikl a arada.pix first animation and it's a nice animasyon.tebrik on disney pixar's congratulations";;;
The only thing you need to solve is the 4350 puzzle.;;;
"4351 ""Maybe I have watched 15 times. One of the most ambitious films of Turkish Cinema I think ...";;;
"4352 ""In my opinion, his greatest rival is The Godfather.";;;
"4353 ""5-year-old go away like the child matrix lotr watch what it means how scarce is a comment. This is the philosophy of the first film of Mathrix and all the visual effects of the trilogy have survived to the world cinema. The Lord of the Rings is the world's best serial film. 3. While the film explodes, the ring series does not contain a weak ring.";;;
"4354 ""I do not like to be so badly given 1 point in my opinion. No matter what the well-being of Orson Welles is a man who takes such a subject and undertook the substructure of the film's chief elements. a solid trump.";;;
"4355 ""was one of the best films I've watched. The fact that people can't accept not accepting things is about the fact that every person has a kane side but you will notice after watching it. 10/10";;;
"4356 ""A Turkish film that must be strictly watched. It is an important work for the Turkish cinema in the period of revival with its entertaining expression and its persistent continuity. Acting is really perfect.";;;
"4357 ""Charles Foster, Kane, had a huge deficiency from his past which didn't have everything Rosebud had hidden in it ... It was a beautiful film but it is not a masterpiece ... 10 / 8.5";;;
"4358 ""I think the most beautiful, funniest, graphics in the Shrek series is the best film was 1 and 2 was better, but some of the middle of the film is very boring, like the beginning of the film in the beginning of my movie I had a lot of fun in the middle of the film to keep itself hard to keep in mind that the wrong film actually the main subject of this section oluo here you do not understand the film you do not understand both the film does not have to make you laugh from beginning to end of the film in my opinion is the only negative thing short of the movie it was worth watching some of the jokes made by others in the joke more than 10 years joked in the second spider-man movie film no longer cater to children etmio die was like a movie horror movie was actually a bit more for the children if they had done something more ii came out in short things who say what you say this movie was very good (9/10)";;;
4359 The film is, of course, more stable than in today's films, but it is extraordinary that the film operates the concept of relativity and the courage and wisdom of it in the early 1950s, if it was filmed in the '60s or' 70s. When experimental and protest cinema were almost never in the beginning of the 50s, Kurosawa - I don't know about it - but it did have an incredibly innovative film based on its time, perhaps it may not be so surprising for today's audience, but think you're watching this movie in a movie theater in 1953. Think At that time Ayhan Iþýk, Belgin Doruk, Zeki Müren, you suddenly come across such a '' þeye '' (the players above and the melodramas they play on time are the hundred fluxes of Turkish cinema. If I still come across on TV, I will admire my heart by watching those films. a film like Rashomon at a time when there were such films I can tell what I wanted to say. I've extended too much, in short, should be watched through the glasses of his time, which directed the history of cinema. Good looks.;;;
"4360 ""This is a film that does not deserve this score. At least we should get more than 8.5 points, but unfortunately, our friends who do not understand science fiction film";;;
"4361 ""super movie should be watched with certainty: D I think the 2nd series has been better 10/8";;;
"4362 ""I like it because I have the capacity to choose between art films and category films! 10 points !!!!!!";;;
"4363 ""sequel films have always searched for the first one, but the first one is so strong that I can say the scenes are very impressive adventure and action never stops in action I think definitely deserves more points I surely follow I say";;;
"4364 ""shrek"" which could be bad :)";;;
4365 bekliy The guys who hit the bottom of a great movie, action and science fiction, could only be used so well in a technology film. I'm applauding Michael Bay and his entire team.;;;
"4366 ""Although it is a very old film, it arouses admiration.";;;
"4367 ""The establishment of the Kane Empire was also interesting as the fall ... I watched it as the best film in the world, it was a very different atmosphere, and I was watching it but I have not watched it but I have watched better movies than this movie ... I want to enter the film is a must watch, and I think that the film industry at that time, take a look at this time ...";;;
"4368 ""Today is a privileged film that has many meaningful messages about life.";;;
"4369 ""has undoubtedly achieved a first in the history of cinema, and soon became a masterpiece of its period, a wonderful film. Through the film you cannot help yourself, without being asked by the artfully used techniques and effects, 'I wonder if this film was recently filmed, or later black-and-white."" Maybe I exaggerate a little bit, but also want to exaggerate the people because I want to exaggerate the film, and once again I would like to point out that in the 30s and 40s, there are many films like this and some movies of today's cinema, the main inevitable comparisons. and it is not difficult to make some necessities in the follow-up, and as a result, no one should sleep without watching this film and must enjoy this taste. olm bravo Orson Welles!";;;
"4370 ""A really great movie. The relationship between the father and his father, especially the young boy and his father, has been rendered very well after years. The film is like a poem which makes an unforgettable journey to human nature with the images of magnificent nature. The actor who plays the father and the little actor in the role of Ivan are dragging the film with their spectacular acting.";;;
"4371 ""friends I saw this movie in the dvd shop and got you right advice where you see this film necessarily, but absolutely perfect movie film, orson welles a perfect character to play both youth and middle-aged version of the perfect way of playing, so shameless charlie foster kanein childhood will play I think it will surely be 1 step ahead from the godfather and shawshank redemption made it beyond the 1941 construction but beyond the perfect 1941 film itself but surely you will";;;
"4372 ""friends film was perfect. Please don't be so cruel as you criticize. The film was not boring. Firstly it was a bit of life, and the players were quite successful, especially the little boy. As for the subject of the film, we gave it a little lower than the imdb note of life itself. .";;;
"4373 ""is one of the best films in the history of cinema, and it is a complete masterpiece in terms of the innovations it brings to the year and the year it was made orson welles. ocarlýk actors..make everything you are looking for in a movie 1941 make sure you will find in this film.It was a separate event that I could not believe my eyes.Many techniques directing today's cinema, camera angles were used in this film for the first time, for example the first time the camera was buried in the ground Godfather is a citizen Kane is always important in two films, but I prefer citizen Kanei.";;;
"4374 ""distances between individuals in the vast sea, plain and similar landscapes, without ever dragging it, dragging it into the audience so successful that we can not come across a film that conveys success. But it just reminds me ... ... that all the rewards he's earned are worth a run.";;;
"4375 ""Abi no such film or ... My first attentions are already ... With the techniques of shooting, whether or not the light games get me away from me ... Currently, many of our people still do not do the camera game in 1941 ... For example to the camera approaching and the revival of photography is very difficult for that time, and the people do it or do it right to get ...";;;
"4376 ""A very successful film. The director is quite successful. A simple film and a simple narration can only be so successful.";;;
"4377 ""really nice film. I've watched it today, and I'm doing fresh fresh comments. I have made a dream of the requiem for a dream."" I'm so surprised that the boy in the role of Andrei died, so how come they cut the film in the middle, or did they cancel the scenes with the slyts of the photos and wonder if you'd feel sorry for the kid or the movie ...";;;
"4378 ""Marilyn monroe's enchanting beauty, tony curtis in the play to be removed, very successful and scenario and a great film 8/10";;;
"4379 ""It was one of the best films I've seen lately. It certainly deserves attention.""";;;
"4380 ""It is a movie that enters people with their images, wraps them tightly, makes them contemplate with their scripts, questions them with their acting, shakes them with the tragedy they host ..."".";;;
"4381 ""This film was chosen as the film of the year in the world in the research conducted by BBC Television. In the same poll, our film was in the distant place. This film was chosen as the best among six films and it was awarded the golden lion award at the Venice Film Festival. Zatoichi, motorcycle diary, and other movies.";;;
"4382 ""I read a movie I'm very interested in what I'm interested ... I'm waiting for the date of the excitement .. And I have strong intuition about the value I expect.";;;
"4383 ""A great film that will leave you with different emotions at the same time, leaving traces on the film after seeing the film is a candidate for a masterpiece.";;;
"4384 ""I'll tell you a few things about the final and I'm going to write about the film. So the film is so beautiful and very aesthetic, the actors are very good. The boy who plays the big son is dead after the movie and the other one is like the boy in the movie 6. His. There are many beautiful comments on the imdb.com site, and we understand that the film contains more things than it is for us and direct religious references for those who have grown up in Christian culture, I've been thinking about the movie for hours, what I think affects me the most. It's a movie about growing up, turning to life, and starting to learn life, and it's really necessary to watch it more than once. This is a film that proves that the scenario is very important.";;;
"4385 ""The film that I want to never watch while watching is one of the features of good films for me. It is simple and so intimate film that I don't end up watching as I said. Omar is one of the most intimate performances I've warmed and wrapped around with the humorous expression of the friendship between two people from different worlds of the same country. Sy and his jaw-moving wheelchair Dustin Hoffman-Robert De Niro from the looks-smiles Fronçois Cluzet very successful to prevent the ...";;;
"4386 ""is a very excellent film compared to the year it was made. The film itself is not a complete film making a movie has made a big impact on the development of cinema, no doubt. The director of the film to be more direct to the director. Look at us there to see what we have.";;;
"6891 ""In one word, a great movie. Let it be a screenplay, acting is all number 10. If you haven't seen it before, I suggest you watch it now";;;
"6892 ""It's one of the best films in the world.";;;
"6893 ""a very etching film .. in one word perfect 10/10";;;
"6894 ""one of the rare films that can give lessons to man is simply perfect ...";;;
"6895 ""If you like the soundtrack of the movie, I will tell you the only thing I will tell you ERKAN OÐUR dur cd, even 6 albums, 6 and listen to the mystic and melodious to listen to the name of one of the albums already one of the albums.";;;
"6898 ""a pleasant film based on the mind games, who wondered who could be the killer who watched in the psychology of film film error error is really a little to give an example of the freezing quality of helium gas 17.4 degrees Celsius and even if it directly in contact with the effect of time care It can not be felt quickly, but of course, at that moment when watching this film does not cross the head of this confusing scene in the film more than your brain in the action if you enjoy the action and adventure really nice film 10/7";;;
"6906 ""Today, I've watched again in the DVD archive, there is a film that affects the history of cinema, not just history. Mel Gibson's best film (also the only film he died in). But even though the film is about the freedom of scotland, you're getting nervous about a man sold to the Scots.";;;
"6907 ""I think there are some films on this site, I think I should write something like that, I would not be deprived of such a work in the film.";;;
"6908 ""I think one of the best Turkish cinemas made so far cried the need for moisture is hiding the truth is a bitter reality, such a Turkish film can be done at the time, but now to keep up with the western quote, just give some attention to the film I think this film, I think";;;
"6909 ""If there is a citizen keane in the world cinema, there is a bandit in Turkish cinema and it is much more beautiful than all the other films.";;;
"6910 ""wonderful bi film in a single subject matter of acting scenes etc .. all in all I recommend everyone to watch a movie in a movie I think ... tim robins and morgan freeman play his roles as impressive as he played absolutely so ii ...";;;
"6911 ""I watched this film on the way to primary school. I didn't know how much I understood, but at the end of the film the whole cinema was clapping. I liked it very much.";;;
"6912 ""The most beautiful film I've ever seen .. Absolutely 10/10";;;
"6913 ""I don't have to praise the film. Friends have already praised it.";;;
"6914 ""Among the top 5 movies I've watched. I watch it every time I'm on TV. I also have a CD at home. You'll never regret it.";;;
"6915 ""It's hard to think that a movie like this won't win one of the Oscars!""";;;
"6916 ""what a movie, but ...";;;
"6917 ""We can see Michael Mann's experience from every detail of the film, but some transitions have created a strange atmosphere in the film, which does not disturb him as a passive factor. He is a very successful film despite his time in the general sense. Music, narrative of the period, processing the subject in a very attractive way and acting. Again and again we see how .Depp integrates with his gestures and character, and I'm sorry, but he can't play this role without being categorized by different nomenclature.";;;
"6918 ""I really like a film my mother did not love the romantic movie, I watched the film and the film was very attractive for the first time, the prince ...";;;
"6919 ""in one word super ..........";;;
"6920 ""very sweet movie of a movie :))))))) fun and very romantic very good time if you follow.ha meanwhile the prince is very nice"")))";;;
"6921 ""It's a movie that really doesn't squeeze the entertaining audience. It's the movie that's ideal for spending time. It's a fairy-tale and a subject that doesn't bother people. If you like romantic comedies, this movie is just for you.""";;;
"6922 ""I'm full of love!""";;;
"6923 ""The story of a beautiful movie with a fairy tale and a realistic feature of the film from the beginning to the beginning of the film with pleasure to watch the realistic side of the occurrence of such events in the real life and the occurrence of this film in the film to be inspired by the fact that the viewer not much trouble in the film in the place is quite nice There are diologists and countries and people are looking at each other with a good looking cahilligini good ...";;;
"6924 ""Whoever says that this film is very beautiful";;;
"6925 ""Is it played so well, is it explained in the beautiful event, so the audience enters into the film.";;;
"6926 ""quality and very nice film to watch a movie";;;
"6927 ""If you watch what you want to watch movies do not watch what I see ... if you have the price of bondage at all, think of a movie and watch a movie, even if you watch 55 times without getting bored. But the original subtitled watch morgan freeman's voice puts a completely different film .. one word is a fabulous movie";;;
"6928 ""a masterpiece, a bedside film, a great loss for those who do not watch.";;;
"6929 ""is a perfect movie.";;;
"6930 ""If cinema is art and you need to be given an example of this art I think the first example should be Shawshank Redemption. A true masterpiece, masterpiece ...";;;
"6931 ""this movie is a masterpiece ... I say those who say bad ... I do not know anymore ..""";;;
"6932 ""So you do not understand how you filmed over 2 hours of filming. Such films do not come easy. I would recommend to anyone. An amazingly beautiful movie. Watch .....";;;
"6948 ""In general, I can say that it was beautiful. What I think is not nice enough to deserve Oscar, the other candidates do not matter, but this movie is not in itself, considering the 'best film' I think it is not worthy to be selected. there is an important part that I can not make sense, how can a very exact decision be made when a 13-year-old says em I have seen kadar? I did not feel very digestive things to me some thing. I had a feeling of deviating from the subject at a time, but again I could connect in the end, no problem in acting, especially the 13 year old girl performed a nice performance.";;;
There is a beautiful period film and a successful love story. If you like love movies, I recommend it to everyone. A story of redemption is so beautiful, so especially the final will be one of the great and unforgettable love films. This film is about Keira Knigthley. Actually, I like all the movies of Keira and have done a good job here, but I don't believe that this movie will get the oscari, although it's beautiful, because you'll be right when the other candidates watch the more powerful and other nominated films.;;;
"6950 ""I've watched the 2nd film of this movie, it's really nice as an action, but there's a bit of a break in the movie, it's nothing to do with movie 1, but there are 4 different groups of 7 different killers. I recommend it in the style of Guy Ritchie.";;;
"6951 ""As a literary work is very well transferred to the film I can say that the well-designed, acting place and consistency. directing a qualified one.";;;
"6952 ""When commenting, instead of telling the movie scenes one-to-one, the opinions about the film, the film and the spoiler of the film will be better for those who annoy the question, I think about the film";;;
"Those who don't understand the film can find explanatory articles about what the film is, but when they read it, they can say"" Hýmm yes or beautiful "", but if they didn't understand it when they first watched it and if they didn't like it - I can't tell what it is, and the weirdest thing is that director lynch does it on purpose - explanatory texts According to me it is true that other films left a question mark in the minds of the audience, but let's do a questionnaire, how many people can understand this film when it first follows. I gave him some reasons why I gave him maybe Watss' acting is also a few beautiful images.";;;
"I've come into the film with hope, but I'm out of frustration.""";;;
I'm really disappointed after watching the film. A film that doesn't suit Sandler. If you want to throw your money in the street, you go to the street. I'm very bored.;;;
Adam Sandler ... I guess that name sums up how beautiful and enjoyable the film is ...;;;
movie sucks cocksucking;;;
Zero acting, adherence to zero scenario ... Behold, in the innocence half of what is told in the scene of the film, there is no movie, but there is no distorted, we love it so we did not need to change the story of the love and zagorun ... If you're telling the pre-realism must pay attention to ...;;;
is the worst movie of the man. Jessica biel has also publicly advertised his body.;;;
I watched the movie and watched the actor but there was a ridiculous film ... so it was so important to look at the issue without being deceived by the players ... :-D;;;
a very bad movie;;;
I have a few questions in my life that I wonder about the answer of my life. I go in love with them if I die without learning them. 1-What is the purpose of people being in the world? 2-Is there any other life in space than us? 3-Where did Ajdar disappear? Oscar won so much?;;;
Without the successful acting of Kiefer Sutherland, this is not a movie to go to the cinema in the heat of summer and it is not a scary movie except for the last twenty minutes of the B class.;;;
"About a film & quot;";;;
I've found this film very boring many times and I've made this comment but none have been published here.;;;
"13441 ""friends again without leaving the movie score points";;;
"13442 ""I haven't seen a movie so badly, it's a very boring topic, not worth watching.";;;
"13443 ""Conqueror influx future of turkey brilliant names rather than turkey finished desenize.ada's a boring psychology in every film eroticism in every movie. It's an empty movie in this movie. You expect to add different emotions but does nothing times nothing more than to think that we watch in could come back to the scene of let kekilli this film.";;;
"13444 ""david lynch did a clever job by swiping this film to many people as a result of an instant laughable and half-lived symptom, or if the man didn't think cleverly, he targeted a certain audience. Jackie Brown is a very desperate crowd for me, you are a very desperate crowd for me.";;;
"13445 ""I can say at the moment the most horrible movies in the cinema. Suddenly, this movie is trying to give a sudden voice in a moment of silent and boring movie. Extreme nonsense of 8.2 points.";;;
"13446 ""such a bad film with such good players, but such a film can be drawn.";;;
"13447 ""I can not say that it is very nice, I think this type of action is ordinary now.";;;
"13448 ""The story of people who have lost their lives ... a disgusting film.";;;
"13449 ""I like this kind of film, but this movie is so simple and simple ...";;;
I didn't watch the same movie with the commentators or I think it would be so bad. Ürk I read the comments and watched it by taking a blu ray but it was like a nightmare. Even the effects couldn't save the movie.;;;
"13466 ""I don't understand how many people have liked this movie here, and I don't understand how you got this score. It was a very weak, poor Hannibal experiment. It was one of the movies I was expecting when it was over.";;;
"13467 ""The film has been overwhelmed with homosexuality and at the same time encouraging or justifying legitimacy. Some of the scenes are indeed very entertaining, but the film does not have the fullness of the film.";;;
"13468 ""The topic of the film came interesting, but very boring. The excitement of the past. I did not reflect the history well. I'm a little fiction they say the fiction serpelim, but very grinning! In short, the movie is not watched.";;;
"13469 ""Before watching frida, I was excited to read such a film about the life of frida kahlo. I was thrilled to watch and film this artist's life I've read his biography before, but as with most hollywood movies, some clichée elements are in this film."" I also carried the concern that it would be, and that my expectation was unrequited, we were confronted with a full hollywood-made frida, known as the classic scenario pattern, soaked in a bit of bitter sosa, which worked out from the provocative features of the characters, like the element of sexuality .... used, but even the political personality of the area was created using his feminine characteristics, everything that should be in a hollywood-made film, perhaps the need to do as the ernest hewingway does, filmed his novels filmed cases argued that he did not watch in, transferring what he wrote to a bad movie, maybe we know what we know about frida good if we stayed with what we read, I would not want them to know the younger generations of frida. this film should like to ask, some color transition, a little provocative features, a little camera movement a film is enough to make a good film? It is necessary to think twice about how to film a movie that is difficult to manipulate, such as bianography, and to think twice about a film.";;;
"13470 ""so well-known and the result of a good actor was very sad I tried to combine very badly but even he has not broken small and ordinary stories";;;
"13 471 ""MOST of REAL GORE the pros VAK was GELDI BENCE.KAYIP Otobe why LIFE IN FILM to IMZA ATAN film music FICTION should Mukeka with SCENARIO SNAG importantly, EVEN HOLLYWOOD RECOGNIZED BUT NEVER TOP CLASS NON-ACTORS AND unbelievable with the actresses in the beauty business for WHO LYNCH decline GECIYOR.B Layout WITH THIS FILM ICI's TRULY a DISAPPOINTED wITH THIS FILM HOLLYWOOD sECTOR the ELESTIRECEG I DIE THIS DUZENDEK the LIES'll tell you I DIE BASTAN ENDED chaotic DARK AND COG TIME FICTION SPACE AND ANLAMSIZLIKLARI in the IC KEEP AND LAST HALF HOUR to GEC BIL smoking BR torture DONUSUYOR.FILM of people who like the iS ONLY a PUZZLE tO cOMPLETE PLEASURE FILM having effort OTHER LYNCH FILMS GORE HIC TAT IS NOT GIVEN. YNCH WAS THE UNDERSTANDING THIS EFFICIENT HARDWARE IS JUMPING, AND NOW IS SUCCESSFULLY LOOKING FOR THE MOVIES OF THE MOON ...";;;
"13472 ""You will wonder if you will have a smith, but you will only enjoy the smithi, do not worry about the film in vain. Very frustrating and especially the end with you. So they did not know how to do the end. Don't waste your special time with this movie.";;;
"13473 ""Forty million people read a novel, a very attractive adaptation material in terms of the audience potential. A complete Hollywood project! ... But the literature is not so much cinema ... movie, unfortunately, unfortunately ... One of Hollywood artisans Ron Howard All filmmakers are witnessing that Tom Hanks and Audrey Tautou, the leading actors of the film, can perform better than this, and this movie, which in no way satisfies Ian McKellen's view, brings Shakespeare's famous play to mind.";;;
"13474 ""effects do not stick to the eyes.";;;
"13475 ""really was very bad.";;;
"13507 ""I do not understand how you get the oscar you do not lose, I think you will not lose ... Especially the first half is very boring towards the end, but I think it still does not recover.";;;
